fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_hawkinsh,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,results_absentee_hawkinsh,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
25001,Barnstable,147014,0,63,65,,,,,"",edison,,,,,,,89812,54147,1825,628,602,0,0,0,0,0,2020-11-04T10:43:52Z,24.25959,D+24,Biden +24,democrat,-24.25959,135781,-13.5,133115,-7.79,massachusetts,2020-11-11T00:35:10.451791Z
25003,Berkshire,64692,0,52,59,,,,,"",edison,,,,,,,47215,16060,824,162,431,0,0,0,0,0,2020-11-05T20:09:31Z,48.15897,D+48,Biden +48,democrat,-48.15897,65617,-41,64486,-53.64,massachusetts,2020-11-11T00:35:10.451791Z
25005,Bristol,274045,16404,163,172,,,,,"",edison,,,,,,,150063,118085,3590,943,1364,9544,6550,186,63,61,2020-11-04T10:43:29Z,11.66889,D+12,Biden +12,democrat,-11.66889,252140,-9.6,241509,-20.38,massachusetts,2020-11-11T00:35:10.451791Z
25007,Dukes,12595,0,6,7,,,,,"",edison,,,,,,,9763,2588,134,29,81,0,0,0,0,0,2020-11-06T23:28:16Z,56.96705,D+57,Biden +57,democrat,-56.96705,11674,-50.7,10968,-47.28,massachusetts,2020-11-11T00:35:10.451791Z
25009,Essex,414306,0,230,240,,,,,"",edison,,,,,,,262297,142815,5205,2150,1839,0,0,0,0,0,2020-11-05T18:23:49Z,28.83907,D+29,Biden +29,democrat,-28.83907,385370,-22.3,366357,-16.33,massachusetts,2020-11-11T00:35:10.451791Z
25011,Franklin,38126,876,35,40,,,,,"",edison,,,,,,,26894,10126,630,142,334,662,196,16,0,2,2020-11-05T19:18:44Z,43.98049,D+44,Biden +44,democrat,-43.98049,38821,-36.4,37758,-46.95,massachusetts,2020-11-11T00:35:10.451791Z
25013,Hampden,211572,5630,151,166,,,,,"",edison,,,,,,,122615,84231,2804,793,1129,3574,1973,67,0,16,2020-11-04T10:43:36Z,18.14229,D+18,Biden +18,democrat,-18.14229,206101,-16.5,200399,-25.06,massachusetts,2020-11-11T00:35:10.451791Z
25015,Hampshire,85304,4916,49,56,,,,,"",edison,,,,,,,61555,21807,1008,224,710,2340,2440,91,0,45,2020-11-04T10:43:35Z,46.5957,D+47,Biden +47,democrat,-46.5957,84193,-39.9,81621,-43.96,massachusetts,2020-11-11T00:35:10.451791Z
25017,Middlesex,842171,10502,450,474,,,,,"",edison,,,,,,,599370,223374,10411,4520,4496,6970,3326,124,41,41,2020-11-04T10:43:28Z,44.64604,D+45,Biden +45,democrat,-44.64604,796735,-37.7,754170,-27.11,massachusetts,2020-11-11T00:35:10.451791Z
25019,Nantucket,7297,4518,1,1,,,,,"",edison,,,,,,,5234,1912,81,29,41,3587,861,36,13,21,2020-11-04T10:43:57Z,45.52556,D+46,Biden +46,democrat,-45.52556,6508,-34.6,6120,-26.85,massachusetts,2020-11-11T00:35:10.451791Z
25021,Norfolk,385929,24338,200,211,,,,,"",edison,,,,,,,258357,118838,4909,2183,1642,19312,4601,255,98,72,2020-11-04T22:55:06Z,36.15147,D+36,Biden +36,democrat,-36.15147,367695,-27.8,356523,-15.24,massachusetts,2020-11-11T00:35:10.451791Z
25023,Plymouth,259574,40570,115,143,,,,,"",edison,,,,,,,141786,111430,3915,1300,1143,28363,11371,445,229,162,2020-11-05T19:19:13Z,11.69455,D+12,Biden +12,democrat,-11.69455,271177,-7.4,256531,-4.19,massachusetts,2020-11-11T00:35:10.451791Z
25025,Suffolk,314110,0,297,298,,,,,"",edison,,,,,,,252661,55699,2677,1513,1560,0,0,0,0,0,2020-11-05T19:33:42Z,62.70478,D+63,Biden +63,democrat,-62.70478,313283,-62.3,289098,-56.69,massachusetts,2020-11-11T00:35:10.451791Z
25027,Worcester,425063,20145,230,242,,,,,"",edison,,,,,,,243932,169727,7076,1851,2477,12409,7134,373,109,120,2020-11-04T10:43:30Z,17.45741,D+17,Biden +17,democrat,-17.45741,389951,-10.5,369112,-9.44,massachusetts,2020-11-11T00:35:10.451791Z
