fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_markeye,results_oconnork,results_write_ins,results_absentee_markeye,results_absentee_oconnork,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
25001,Barnstable,145282,0,63,65,,,,,"",edison,,,,,,,87798,56768,716,0,0,0,2020-11-11T03:26:14Z,21.35846,D+21,Markey +21,democrat,massachusetts,2020-11-13T00:41:32.669418Z
25003,Berkshire,63265,0,52,59,,,,,"",edison,,,,,,,47020,15955,290,0,0,0,2020-11-11T03:24:59Z,49.10298,D+49,Markey +49,democrat,massachusetts,2020-11-13T00:41:32.669418Z
25005,Bristol,266474,15237,160,172,,,,,"",edison,,,,,,,152261,112269,1944,8686,6439,112,2020-11-11T03:25:25Z,15.00784,D+15,Markey +15,democrat,massachusetts,2020-11-13T00:41:32.669418Z
25007,Dukes,12408,0,6,7,,,,,"",edison,,,,,,,9605,2755,48,0,0,0,2020-11-11T03:25:05Z,55.20632,D+55,Markey +55,democrat,massachusetts,2020-11-13T00:41:32.669418Z
25009,Essex,406795,0,227,240,,,,,"",edison,,,,,,,262624,141338,2833,0,0,0,2020-11-11T03:25:07Z,29.81502,D+30,Markey +30,democrat,massachusetts,2020-11-13T00:41:32.669418Z
25011,Franklin,38291,848,36,40,,,,,"",edison,,,,,,,27326,10454,511,637,211,0,2020-11-11T03:25:11Z,44.06257,D+44,Markey +44,democrat,massachusetts,2020-11-13T00:41:32.669418Z
25013,Hampden,205395,5478,147,166,,,,,"",edison,,,,,,,120254,82569,2572,3459,2019,0,2020-11-11T03:24:57Z,18.34757,D+18,Markey +18,democrat,massachusetts,2020-11-13T00:41:32.669418Z
25015,Hampshire,84137,4853,52,56,,,,,"",edison,,,,,,,61291,22086,760,2409,2390,54,2020-11-11T03:25:14Z,46.59662,D+47,Markey +47,democrat,massachusetts,2020-11-13T00:41:32.669418Z
25017,Middlesex,813287,10596,436,474,,,,,"",edison,,,,,,,581405,226597,5285,7024,3522,50,2020-11-11T03:25:54Z,43.62642,D+44,Markey +44,democrat,massachusetts,2020-11-13T00:41:32.669418Z
25019,Nantucket,7185,4460,1,1,,,,,"",edison,,,,,,,5127,2030,28,3498,957,5,2020-11-11T03:26:16Z,43.10369,D+43,Markey +43,democrat,massachusetts,2020-11-13T00:41:32.669418Z
25021,Norfolk,339929,15760,176,211,,,,,"",edison,,,,,,,224242,113822,1865,12475,3253,32,2020-11-11T03:25:23Z,32.48325,D+32,Markey +32,democrat,massachusetts,2020-11-13T00:41:32.669418Z
25023,Plymouth,253319,40218,114,143,,,,,"",edison,,,,,,,137479,114346,1494,27167,12912,139,2020-11-11T03:26:16Z,9.13196,D+9,Markey +9,democrat,massachusetts,2020-11-13T00:41:32.669418Z
25025,Suffolk,305891,0,294,298,,,,,"",edison,,,,,,,248846,55552,1493,0,0,0,2020-11-11T03:25:21Z,63.19048,D+63,Markey +63,democrat,massachusetts,2020-11-13T00:41:32.669418Z
25027,Worcester,401858,14517,222,242,,,,,"",edison,,,,,,,234927,161886,5045,9390,5034,93,2020-11-11T03:25:26Z,18.17582,D+18,Markey +18,democrat,massachusetts,2020-11-13T00:41:32.669418Z
